,index,ID,Lat_utm,Lon_utm,Lat_deg,Lon_deg,SS-RSRP,SS-SINR,SS-RSRQ,SecArea_UEAllowed,UE_Loc,Sec_UE_Count,PDSCH-RE/Frame/Sec,PDSCH-RE/Frame/UE,SS-SINR_Cat,Estimated SE (bps/Hz),FR1_30_100,UE_Tput_Mbps,UE_Tput_woVonr_Mbps,UE_Tput_LowDemand_Mbps,UE_Tput_HighDemand_Mbps
17,4371,4372,362680.6275,10169570.24,1.533793182,103.7656021,-130.1753748,-7.1692,-19.25,2.0,YES,14,498595.14,35613.938571428575,-8.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
18,4343,4344,362400.6275,10169570.24,1.53379172,103.7630855,-109.6980512,11.88318182,-10.62704545,2.0,YES,14,498595.14,35613.938571428575,11.0,4.6125,22.400357953733764,22.400357953733764,22.272357953733763,4.454471590746753,17.81788636298701
19,3906,3907,362440.6275,10169620.24,1.534244185,103.7634448,-106.2402744,13.72463158,-10.49042105,2.0,YES,14,498595.14,35613.938571428575,13.0,5.9169,28.735106336357138,28.735106336357138,28.607106336357138,5.7214212672714275,22.88568506908571
20,3393,3394,362630.6275,10169680.24,1.534787886,103.7651522,-127.5811255,-4.3354,-16.5943,2.0,YES,14,498595.14,35613.938571428575,-5.0,1.2045,5.849589410357142,5.849589410357142,5.721589410357142,1.1443178820714284,4.5772715282857135
21,5842,5843,362500.6275,10169330.24,1.531621411,103.7639856,-134.3453113,-10.455,-25.435,2.0,YES,14,498595.14,35613.938571428575,-11.0,,,,,,
22,5833,5834,362410.6275,10169330.24,1.531620941,103.7631767,-133.6518536,-9.506666667,-24.9,2.0,YES,14,498595.14,35613.938571428575,-10.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
23,3040,3041,362550.6275,10169720.24,1.535149273,103.7644329,-123.2860987,-0.473651685,-14.13516854,2.0,YES,14,498595.14,35613.938571428575,-1.0,1.8933,9.194709531448051,9.194709531448051,9.066709531448051,1.8133419062896103,7.253367625158441
24,2953,2954,362520.6275,10169730.24,1.535239567,103.7641632,-121.5714542,1.436891192,-13.18259067,2.0,YES,14,498595.14,35613.938571428575,1.0,2.0985,10.191252285292208,10.191252285292208,10.063252285292208,2.0126504570584416,8.050601828233766
25,3681,3682,361960.6275,10169640.24,1.534422574,103.7591305,-132.6962571,-9.006666667,-21.80666667,3.0,YES,14,498595.14,35613.938571428575,-10.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
26,1486,1487,362240.6275,10169900.24,1.536775773,103.7616458,-131.2248189,-8.205714286,-20.67,3.0,YES,14,498595.14,35613.938571428575,-9.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
27,2238,2239,362040.6275,10169810.24,1.535960663,103.7598487,-126.2721875,-3.50557047,-15.95751678,3.0,YES,14,498595.14,35613.938571428575,-4.0,1.434,6.964143806103896,6.964143806103896,6.8361438061038955,1.3672287612207792,5.468915044883117
28,2400,2401,361950.6275,10169790.24,1.535779288,103.7590399,-133.2012479,-9.506666667,-24.9,3.0,YES,14,498595.14,35613.938571428575,-10.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
29,2415,2416,362100.6275,10169790.24,1.535780075,103.760388,-120.6593123,2.396956522,-12.78099379,3.0,YES,14,498595.14,35613.938571428575,2.0,2.1978,10.673497389857143,10.673497389857143,10.545497389857143,2.1090994779714287,8.436397911885715
30,2926,2927,362250.6275,10169730.24,1.535238154,103.7617365,-100.797163,16.47828571,-10.36328571,3.0,YES,14,498595.14,35613.938571428575,16.0,8.712,42.309359022857144,42.309359022857144,42.181359022857144,8.43627180457143,33.74508721828572
31,4484,4485,362060.6275,10169550.24,1.533609038,103.7600298,-128.762399,-5.563255814,-17.59395349,3.0,YES,14,498595.14,35613.938571428575,-6.0,0.9218,4.476672078428571,4.476672078428571,4.348672078428571,0.8697344156857142,3.4789376627428568
32,3345,3346,362150.6275,10169680.24,1.534785375,103.760838,-115.2731711,7.10972973,-11.24279279,3.0,YES,14,498595.14,35613.938571428575,7.0,3.0213,14.67278080988961,14.67278080988961,14.54478080988961,2.9089561619779225,11.63582464791169
33,4397,4398,362060.6275,10169560.24,1.533699489,103.7600297,-128.1562801,-5.563255814,-17.59395349,3.0,YES,14,498595.14,35613.938571428575,-6.0,0.9218,4.476672078428571,4.476672078428571,4.348672078428571,0.8697344156857142,3.4789376627428568
34,4323,4324,362200.6275,10169570.24,1.533790673,103.761288,-122.0150837,0.465202312,-13.64803468,3.0,YES,14,498595.14,35613.938571428575,0.0,2.0,9.712892337662337,9.712892337662337,9.584892337662337,1.9169784675324675,7.66791387012987
35,3102,3103,362320.6275,10169710.24,1.535057619,103.7623658,-89.37317382,17.25684211,-10.34026316,3.0,YES,14,498595.14,35613.938571428575,17.0,9.9033,48.09484334378571,48.09484334378571,47.96684334378571,9.593368668757142,38.37347467502857
36,3886,3887,362240.6275,10169620.24,1.534243139,103.7616472,-113.0255035,8.481354167,-10.98322917,3.0,YES,14,498595.14,35613.938571428575,8.0,3.3144,16.096205181974025,16.096205181974025,15.968205181974024,3.193641036394805,12.77456414557922
37,4675,4676,362250.6275,10169530.24,1.53342913,103.7617376,-134.0756264,-10.455,-25.435,3.0,YES,14,498595.14,35613.938571428575,-11.0,,,,,,
38,3154,3155,361980.6275,10169700.24,1.534965385,103.75931,-130.3340254,-7.1692,-19.25,3.0,YES,14,498595.14,35613.938571428575,-8.0,0.1608,0.780916543948052,0.780916543948052,0.652916543948052,0.13058330878961041,0.5223332351584417
