ID,Lat_utm,Lon_utm,Lat_deg,Lon_deg,SS-RSRP,SS-SINR,SS-RSRQ,SecArea_UEAllowed,UE_Loc
116,362380.6275,10170130.24,1.538856885,103.7629029,-134.2964584,-10.455,-25.435,1,
117,362390.6275,10170130.24,1.538856938,103.7629927,-134.132503,-10.455,-25.435,1,
118,362400.6275,10170130.24,1.53885699,103.7630826,-134.1502959,-10.455,-25.435,1,
119,362410.6275,10170130.24,1.538857043,103.7631725,-134.199858,-10.455,-25.435,1,
120,362420.6275,10170130.24,1.538857095,103.7632624,-134.2712203,-10.455,-25.435,1,
121,362430.6275,10170130.24,1.538857147,103.7633523,-134.4144269,-10.455,-25.435,1,
122,362440.6275,10170130.24,1.5388572,103.7634421,-134.5995383,-10.455,-25.435,1,
123,362450.6275,10170130.24,1.538857252,103.763532,-134.8166352,-10.455,-25.435,1,
124,362460.6275,10170130.24,1.538857305,103.7636219,-135.0558225,,,,
125,362470.6275,10170130.24,1.538857357,103.7637118,-135.3072332,,,,
126,362480.6275,10170130.24,1.53885741,103.7638017,-135.5810326,,,,
127,362490.6275,10170130.24,1.538857462,103.7638915,-135.8674224,,,,
128,362500.6275,10170130.24,1.538857514,103.7639814,-136.5766445,,,,
129,362510.6275,10170130.24,1.538857567,103.7640713,-136.8989856,,,,
130,362520.6275,10170130.24,1.538857619,103.7641612,-137.2447797,,,,
131,362530.6275,10170130.24,1.538857672,103.764251,-137.6344125,,,,
132,362540.6275,10170130.24,1.538857724,103.7643409,-138.048324,,,,
133,362550.6275,10170130.24,1.538857776,103.7644308,-138.4870116,,,,
134,362560.6275,10170130.24,1.538857829,103.7645207,-138.9710321,,,,
135,362570.6275,10170130.24,1.538857881,103.7646106,-139.4710043,,,,
136,362250.6275,10170120.24,1.538765752,103.7617345,-139.4050978,,,,
137,362260.6275,10170120.24,1.538765804,103.7618244,-138.798705,,,,
138,362270.6275,10170120.24,1.538765857,103.7619143,-137.8641028,,,,
139,362280.6275,10170120.24,1.538765909,103.7620041,-137.3612479,,,,
140,362290.6275,10170120.24,1.538765962,103.762094,-136.8801143,,,,
141,362300.6275,10170120.24,1.538766014,103.7621839,-136.1306894,,,,
142,362310.6275,10170120.24,1.538766067,103.7622738,-135.7329694,,,,
143,362320.6275,10170120.24,1.538766119,103.7623636,-135.0969567,,,,
144,362330.6275,10170120.24,1.538766172,103.7624535,-134.7826563,-10.455,-25.435,1,
145,362340.6275,10170120.24,1.538766224,103.7625434,-134.2600734,-10.455,-25.435,1,
146,362350.6275,10170120.24,1.538766277,103.7626333,-134.0292119,-10.455,-25.435,1,
147,362360.6275,10170120.24,1.538766329,103.7627232,-133.8300734,-9.506666667,-24.9,1,
148,362370.6275,10170120.24,1.538766382,103.762813,-133.5026563,-9.506666667,-24.9,1,
149,362380.6275,10170120.24,1.538766434,103.7629029,-133.4169567,-9.506666667,-24.9,1,
150,362390.6275,10170120.24,1.538766486,103.7629928,-133.2529694,-9.506666667,-24.9,1,
151,362400.6275,10170120.24,1.538766539,103.7630827,-133.2706894,-9.506666667,-24.9,1,
152,362410.6275,10170120.24,1.538766591,103.7631726,-133.2801143,-9.506666667,-24.9,1,
153,362420.6275,10170120.24,1.538766644,103.7632624,-133.3912479,-9.506666667,-24.9,1,
154,362430.6275,10170120.24,1.538766696,103.7633523,-133.5341028,-9.506666667,-24.9,1,
155,362440.6275,10170120.24,1.538766749,103.7634422,-133.728705,-9.506666667,-24.9,1,
156,362450.6275,10170120.24,1.538766801,103.7635321,-133.9350978,-9.506666667,-24.9,1,
157,362460.6275,10170120.24,1.538766853,103.7636219,-134.1733465,-10.455,-25.435,1,
158,362470.6275,10170120.24,1.538766906,103.7637118,-134.4235429,-10.455,-25.435,1,
159,362480.6275,10170120.24,1.538766958,103.7638017,-134.6958101,-10.455,-25.435,1,
160,362490.6275,10170120.24,1.538767011,103.7638916,-134.9803071,-10.455,-25.435,1,
161,362500.6275,10170120.24,1.538767063,103.7639815,-135.2672332,,,,
162,362510.6275,10170120.24,1.538767116,103.7640713,-135.5968329,,,,
163,362520.6275,10170120.24,1.538767168,103.7641612,-135.9493991,,,,
164,362530.6275,10170120.24,1.53876722,103.7642511,-136.7352779,,,,
165,362540.6275,10170120.24,1.538767273,103.764341,-137.1448712,,,,
166,362550.6275,10170120.24,1.538767325,103.7644309,-137.5986404,,,,
167,362560.6275,10170120.24,1.538767378,103.7645207,-138.0671087,,,,
168,362570.6275,10170120.24,1.53876743,103.7646106,-138.5708636,,,,
169,362580.6275,10170120.24,1.538767482,103.7647005,-139.1005586,,,,
170,362590.6275,10170120.24,1.538767535,103.7647904,-139.6469147,,,,
171,362240.6275,10170110.24,1.538675248,103.7616447,-139.6552529,,,,
172,362250.6275,10170110.24,1.538675301,103.7617345,-138.5472595,,,,
173,362260.6275,10170110.24,1.538675353,103.7618244,-137.9409346,,,,
174,362270.6275,10170110.24,1.538675406,103.7619143,-137.3762571,,,,
175,362280.6275,10170110.24,1.538675458,103.7620042,-136.5032258,,,,
176,362290.6275,10170110.24,1.538675511,103.7620941,-136.0218536,,,,
177,362300.6275,10170110.24,1.538675563,103.7621839,-135.272163,,,,
178,362310.6275,10170110.24,1.538675615,103.7622738,-134.8741813,-10.455,-25.435,1,
179,362320.6275,10170110.24,1.538675668,103.7623637,-134.237937,-10.455,-25.435,1,
180,362330.6275,10170110.24,1.53867572,103.7624536,-133.9234559,-9.506666667,-24.9,1,
181,362340.6275,10170110.24,1.538675773,103.7625435,-133.4007584,-9.506666667,-24.9,1,
182,362350.6275,10170110.24,1.538675825,103.7626333,-133.1698578,-9.506666667,-24.9,1,
183,362360.6275,10170110.24,1.538675878,103.7627232,-132.9707584,-9.006666667,-21.80666667,1,
184,362370.6275,10170110.24,1.53867593,103.7628131,-132.6434559,-9.006666667,-21.80666667,1,
185,362380.6275,10170110.24,1.538675983,103.762903,-132.557937,-9.006666667,-21.80666667,1,
186,362390.6275,10170110.24,1.538676035,103.7629928,-132.3941813,-9.006666667,-21.80666667,1,
187,362400.6275,10170110.24,1.538676088,103.7630827,-132.412163,-9.006666667,-21.80666667,1,
188,362410.6275,10170110.24,1.53867614,103.7631726,-132.4218536,-9.006666667,-21.80666667,1,
